label,title,url,citation_count,citation_source,semantic_scholar_citationCount,openalex_cited_by_count,crossref_is_referenced_by_count
arXiv2025,SpaceMind: Camera-Guided Modality Fusion for Spatial Reasoning in Vision-Language Models,https://arxiv.org/pdf/2511.23075,0,semantic_scholar,0,0,
arXiv2025,SpaRE: Enhancing Spatial Reasoning in Vision-Language Models with Synthetic Data,https://arxiv.org/pdf/2504.20648,9,semantic_scholar,9,0,
CoRR2025,SoFar: Language-Grounded Orientation Bridges Spatial Reasoning and Object Manipulation,https://arxiv.org/pdf/2502.13143,29,semantic_scholar,29,1,
ICCVW2025,SmolRGPT: Efficient Spatial Reasoning for Warehouse Environments with 600M Parameters,https://arxiv.org/pdf/2509.15490,1,semantic_scholar,1,0,
CVPR2024,Situational Awareness Matters in 3D Vision Language Reasoning,https://arxiv.org/pdf/2406.07544,35,semantic_scholar,35,5,
arXiv2023,Set-of-Mark Prompting Unleashes Extraordinary Visual Grounding in GPT-4V,https://arxiv.org/pdf/2310.11441,268,semantic_scholar,268,26,
ECCV2024,SegPoint: Segment Any Point Cloud via Large Language Model,https://arxiv.org/pdf/2407.13761,33,semantic_scholar,33,0,
arXiv2025,Seeing Beyond the Scene: Enhancing Vision-Language Models with Interactional Reasoning,https://arxiv.org/pdf/2505.09118,1,semantic_scholar,1,0,
CVPR2025,SeeGround: See and Ground for Zero-Shot Open-Vocabulary 3D Visual Grounding (_HKUST,https://arxiv.org/pdf/2412.04383,33,semantic_scholar,33,,
WACV2025,Scene-LLM: Extending Language Model for 3D Visual Understanding and Reasoning,https://openaccess.thecvf.com/content/WACV2025/papers/Fu_Scene-LLM_Extending_Language_Model_for_3D_Visual_Reasoning_WACV_2025_paper.pdf,132,semantic_scholar,132,7,
ECCV2024,ScanReason: Empowering 3D Visual Grounding with Reasoning Capabilities,https://arxiv.org/pdf/2407.01525,45,semantic_scholar,45,0,
CVPR2022,ScanQA: 3D Question Answering for Spatial Scene Understanding,https://arxiv.org/pdf/2112.10482,309,semantic_scholar,309,2,
arXiv2025,Scaling Spatial Intelligence with Multimodal Foundation,https://arxiv.org/pdf/2511.13719,1,semantic_scholar,1,0,
COLING2025,Scaffolding coordinates to promote vision-language coordination in large multi-modal models,https://arxiv.org/pdf/2402.12058,52,semantic_scholar,52,0,
arXiv2025,SVQA-R1: Reinforcing Spatial Reasoning in MLLMs via View-Consistent Reward Optimization,https://arxiv.org/pdf/2506.01371,7,semantic_scholar,7,0,
NeurIPS2025,SSR: Enhancing Depth Perception in Vision-Language Models via Rationale-Guided Spatial Reasoning,https://arxiv.org/pdf/2505.12448,19,semantic_scholar,19,0,
ICLR2025,SPARTUN3D: Situated Spatial Understanding of 3D World in Large Language Models,https://arxiv.org/pdf/2410.03878,17,semantic_scholar,17,1,
AAAI2026,SIFThinker: Spatially-Aware Image Focus for Visual Reasoning,https://arxiv.org/pdf/2508.06259,4,semantic_scholar,4,0,
NeurIPS2025,SD-VLM: Spatial Measuring and Understanding with Depth-Encoded Vision-Language Models,https://arxiv.org/pdf/2509.17664,2,semantic_scholar,2,0,
ICLR26 Submission,SCoT: Teaching 3D-LLMs to Think Spatially with Million-scale CoT Annotations,https://openreview.net/pdf?id=5Tph6wFMOm,,,,,
ICLR2025,Ross: Reconstructive Visual Instruction Tuning,https://arxiv.org/pdf/2410.09575,30,semantic_scholar,30,5477,
CVPR2025,RoboSpatial: Teaching Spatial Understanding to 2D and 3D Vision-Language Models for Robotics,https://arxiv.org/pdf/2411.16537,74,semantic_scholar,74,0,
NeurIPS2025,RoboRefer: Towards Spatial Referring with Reasoning in Vision-Language Models for Robotics,https://arxiv.org/pdf/2506.04308,43,semantic_scholar,43,0,
ICCV2025,Robin3D: Improving 3D Large Language Model via Robust Instruction Tuning,https://arxiv.org/pdf/2410.00255,17,semantic_scholar,17,0,
CVPR2024,RegionGPT: Towards Region Understanding Vision Language Model,https://arxiv.org/pdf/2403.02330,65,semantic_scholar,65,24,
EMNLP2024,Reasoning Paths with Reference Objects Elicit Quantitative Spatial Reasoning in Large Vision-Language Models,https://arxiv.org/abs/2409.09788,39,semantic_scholar,39,0,
CVPR2022,Pseudo-Q: Generating Pseudo Language Queries for Visual Grounding,https://arxiv.org/pdf/2203.08481,64,semantic_scholar,64,9,
ICML2024,Prismatic VLMs: Investigating the Design Space of Visually-Conditioned Language Models,https://arxiv.org/pdf/2402.07865,219,semantic_scholar,219,1,
CoRR2023,Position-Enhanced Visual Instruction Tuning for Multimodal Large Language Models,https://arxiv.org/pdf/2308.13437,55,semantic_scholar,55,10,
arXiv2023,Position-Enhanced Visual Instruction Tuning for Multimodal Large Language Models,https://arxiv.org/pdf/2308.13437,55,semantic_scholar,55,10,
CVPR2025,Perception Tokens Enhance Visual Reasoning in Multimodal Language Models,https://arxiv.org/pdf/2412.03548v1,32,semantic_scholar,32,0,
EMNLP2022,PEVL: Position-enhanced Pre-training and Prompt Tuning for Vision-language Models,https://arxiv.org/pdf/2205.11169,43,semantic_scholar,43,13,
ICML2025,Orient Anything: Learning Robust Object Orientation Estimation from Rendering 3D Models,https://arxiv.org/pdf/2412.18605,22,semantic_scholar,22,0,
arXiv2025,Object-centric Binding in Contrastive Language-Image Pretraining,https://arxiv.org/pdf/2502.14113,5,semantic_scholar,5,0,
NeurIPS2024,Multi-modal Situated Reasoning in 3D Scenes,https://arxiv.org/pdf/2409.02389,38,semantic_scholar,38,3,
arXiv2025,Multi-SpatialMLLM: Multi-Frame Spatial Understanding with MultiModal Large Language Models,https://arxiv.org/pdf/2505.17015,18,semantic_scholar,18,,
NeurIPS2025,Mindjourney: Test-time scaling with world models for spatial reasoning,https://arxiv.org/pdf/2507.12508,7,semantic_scholar,7,0,
